Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
.chat.txt.swp,"2025-06-23 11:02:47 EDT","2025-06-23 11:02:47 EDT","2025-08-01 03:43:22 EDT","2025-06-23 11:02:47 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/home/reports/.chat.txt.swp",,,,
signature_test.mod,"2025-06-21 16:13:40 EDT","2025-06-21 16:13:40 EDT","2025-08-07 06:52:43 EDT","2025-06-21 14:34:44 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/signature_test.mod",,,,
gcry_md5.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/gcry_md5.mod",,,application/octet-stream,mod
gptsync.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/gptsync.mod",,,application/octet-stream,mod
gcry_des.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/gcry_des.mod",,,application/octet-stream,mod
ufs1.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/ufs1.mod",,,application/octet-stream,mod
macho.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/macho.mod",,,application/octet-stream,mod
search.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/search.mod",,,application/octet-stream,mod
bsd.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/bsd.mod",,,application/octet-stream,mod
zfscrypt.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/zfscrypt.mod",,,application/octet-stream,mod
pcidump.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/pcidump.mod",,,application/octet-stream,mod
multiboot2.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/multiboot2.mod",,,application/octet-stream,mod
915resolution.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/915resolution.mod",,,application/octet-stream,mod
legacycfg.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/legacycfg.mod",,,application/octet-stream,mod
minix3_be.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/minix3_be.mod",,,application/octet-stream,mod
part_dvh.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/part_dvh.mod",,,application/octet-stream,mod
halt.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/halt.mod",,,application/octet-stream,mod
minicmd.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/minicmd.mod",,,application/octet-stream,mod
blocklist.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/blocklist.mod",,,application/octet-stream,mod
mdraid09.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/mdraid09.mod",,,application/octet-stream,mod
bfs.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/bfs.mod",,,application/octet-stream,mod
rdmsr.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/rdmsr.mod",,,application/octet-stream,mod
usbserial_usbdebug.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/usbserial_usbdebug.mod",,,application/octet-stream,mod
raid5rec.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/raid5rec.mod",,,application/octet-stream,mod
gcry_seed.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/gcry_seed.mod",,,application/octet-stream,mod
test_blockarg.mod,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/i386-pc/test_blockarg.mod",,,application/octet-stream,mod
