Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
crash.jar,"2025-07-08 12:15:40 EDT","2025-07-25 12:09:13 EDT","2025-07-25 12:09:13 EDT","2025-07-25 12:09:13 EDT",735,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/apport/testsuite/crash.jar",,,application/java-archive,jar
apport.jar,"2025-07-08 12:15:40 EDT","2025-07-25 12:09:13 EDT","2025-07-25 12:09:13 EDT","2025-07-25 12:09:13 EDT",2434,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/apport/apport.jar",,,application/java-archive,jar
libintl.jar,"2020-03-22 11:42:12 EDT","2025-06-21 14:35:09 EDT","2025-06-21 14:35:09 EDT","2025-06-21 14:35:09 EDT",2602,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/java/libintl.jar",,,application/java-archive,jar
Greek-VGA8.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Greek-VGA8.psf.gz",,,application/octet-stream,gz
Greek-VGA16.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Greek-VGA16.psf.gz",,,application/octet-stream,gz
Hebrew-Fixed13.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Hebrew-Fixed13.psf.gz",,,application/octet-stream,gz
Hebrew-Fixed15.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Hebrew-Fixed15.psf.gz",,,application/octet-stream,gz
Lao-Fixed14.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lao-Fixed14.psf.gz",,,application/octet-stream,gz
Lao-Fixed15.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lao-Fixed15.psf.gz",,,application/octet-stream,gz
Lat15-Fixed14.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lat15-Fixed14.psf.gz",,,application/octet-stream,gz
Lat15-Terminus14.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lat15-Terminus14.psf.gz",,,application/octet-stream,gz
Lat15-Terminus16.psf.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lat15-Terminus16.psf.gz",,,application/octet-stream,gz
"Lat15-Terminus20x10.psf.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Lat15-Terminus20x10.psf.gz",,,application/octet-stream,gz
"Greek-Terminus32x16.psf.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Greek-Terminus32x16.psf.gz",,,application/octet-stream,gz
"Greek-TerminusBold22x11.psf.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Greek-TerminusBold22x11.psf.gz",,,application/octet-stream,gz
"Greek-TerminusBold28x14.psf.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/consolefonts/Greek-TerminusBold28x14.psf.gz",,,application/octet-stream,gz
BIG5.gz,"2023-08-31 13:57:06 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:46:36 EDT","2025-06-21 15:46:37 EDT",13,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/BIG5.gz",,,application/octet-stream,gz
BRF.gz,"2023-08-31 13:57:06 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:46:36 EDT","2025-06-21 15:46:37 EDT",21,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/BRF.gz",,,application/octet-stream,gz
BS_4730.gz,"2023-08-31 13:57:06 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:46:36 EDT","2025-06-21 15:46:37 EDT",34,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/BS_4730.gz",,,application/octet-stream,gz
CP10007.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:37 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP10007.gz",,,,
CP1252.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:37 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP1252.gz",,,,
CP1254.gz,"2019-01-12 06:18:17 EST","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",20,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP1254.gz",,,application/octet-stream,gz
CP1257.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:38 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP1257.gz",,,,
CP770.gz,"2020-03-22 11:48:29 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",22,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP770.gz",,,application/octet-stream,gz
CP771.gz,"2020-03-22 11:48:29 EDT","2025-06-21 15:46:37 EDT","2025-06-21 15:47:01 EDT","2025-06-21 15:46:37 EDT",18,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP771.gz",,,application/octet-stream,gz
CP772.gz,"2025-06-21 15:46:37 EDT","2025-06-21 15:46:37 EDT","2025-08-01 03:42:41 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP772.gz",,,,
CP773.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:41 EDT","2025-06-21 15:46:37 EDT",12288,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/CP773.gz",,,,
ISO-8859-16.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:38 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-16.gz",,,,
ISO-8859-4.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:37 EDT","2025-06-21 15:46:37 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-4.gz",,,,
ISO-8859-9.gz,"2025-06-21 15:46:39 EDT","2025-06-21 15:46:39 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-9.gz",,,,
ISO-8859-9E.gz,"2025-06-21 15:46:38 EDT","2025-06-21 15:46:38 EDT","2025-08-01 03:42:36 EDT","2025-06-21 15:46:38 EDT",4096,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/i18n/charmaps/ISO-8859-9E.gz",,,,
