Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
chat.txt,"2025-06-23 10:40:35 EDT","2025-06-23 10:41:08 EDT","2025-08-01 03:55:51 EDT","2025-06-23 10:40:35 EDT",139,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/home/reports/chat.txt",,,text/plain,txt
gfxblacklist.txt,"2025-06-21 14:36:46 EDT","2025-06-21 14:36:46 EDT","2025-06-21 14:36:46 EDT","2025-06-21 14:36:46 EDT",712,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/boot/grub/gfxblacklist.txt",,,text/plain,txt
credentials.txt,"2025-06-23 10:09:58 EDT","2025-06-23 10:10:41 EDT","2025-06-23 10:09:58 EDT","2025-06-23 10:09:58 EDT",19,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/opt/.archive/credentials.txt",,,text/plain,txt
log_failed_password.txt,"2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:52:55 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_failed_password.txt",,,application/octet-stream,txt
"log_accepted_password.txt","2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:54:00 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_accepted_password.txt",,,application/octet-stream,txt
log_sudo_commands.txt,"2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:55:36 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_sudo_commands.txt",,,application/octet-stream,txt
log_cron.txt,"2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:56:18 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_cron.txt",,,application/octet-stream,txt
log_installs.txt,"2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:57:31 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_installs.txt",,,application/octet-stream,txt
log_upgrades.txt,"2025-08-07 06:52:37 EDT","2025-08-07 06:52:37 EDT","2025-08-01 13:10:58 EDT","2025-08-01 12:58:17 EDT",0,Unallocated,Unallocated,unknown,"/img_imagen_victima.img/vol_vol5/tmp/log_upgrades.txt",,,application/octet-stream,txt
PatternGrammar.txt,"2021-05-11 04:35:23 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT",793,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.8/lib2to3/PatternGrammar.txt",,,text/plain,txt
Grammar.txt,"2021-05-11 04:35:23 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT",8676,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.8/lib2to3/Grammar.txt",,,text/plain,txt
LICENSE.txt,"2025-03-18 16:04:55 EDT","2025-06-21 14:45:07 EDT","2025-06-21 14:45:04 EDT","2025-06-21 14:45:07 EDT",72,Unallocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.8/LICENSE.txt",,,text/plain,txt
LICENSE.txt,"2025-03-18 16:04:55 EDT","2025-06-21 14:45:05 EDT","2025-06-21 14:45:04 EDT","2025-06-21 14:45:05 EDT",13925,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.8/LICENSE.txt",,,text/plain,txt
PatternGrammar.txt,"2021-05-11 04:35:23 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT","2025-06-21 14:34:51 EDT",793,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.9/lib2to3/PatternGrammar.txt",,,text/plain,txt
Grammar.txt,"2021-05-11 04:35:23 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",8696,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3.9/lib2to3/Grammar.txt",,,text/plain,txt
entry_points.txt,"2020-03-21 11:50:44 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",63,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Automat-0.8.0.egg-info/entry_points.txt",,,text/plain,txt
dependency_links.txt,"2020-03-21 11:50:44 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",1,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Automat-0.8.0.egg-info/dependency_links.txt",,,text/plain,txt
requires.txt,"2020-03-21 11:50:44 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",44,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Automat-0.8.0.egg-info/requires.txt",,,text/plain,txt
top_level.txt,"2020-03-21 11:50:44 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",8,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Automat-0.8.0.egg-info/top_level.txt",,,text/plain,txt
top_level.txt,"2020-01-02 22:56:09 EST","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",6,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Click-7.0.egg-info/top_level.txt",,,text/plain,txt
dependency_links.txt,"2020-01-02 22:56:09 EST","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",1,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Click-7.0.egg-info/dependency_links.txt",,,text/plain,txt
entry_points.txt,"2025-03-12 12:53:04 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT",72,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Jinja2-2.10.1.egg-info/entry_points.txt",,,text/plain,txt
dependency_links.txt,"2025-03-12 12:53:04 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT",1,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Jinja2-2.10.1.egg-info/dependency_links.txt",,,text/plain,txt
requires.txt,"2025-03-12 12:53:04 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT",19,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Jinja2-2.10.1.egg-info/requires.txt",,,text/plain,txt
top_level.txt,"2025-03-12 12:53:04 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT","2025-06-21 14:46:14 EDT",7,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/Jinja2-2.10.1.egg-info/top_level.txt",,,text/plain,txt
top_level.txt,"2020-02-18 04:44:10 EST","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT","2025-06-21 14:34:52 EDT",11,Allocated,Allocated,unknown,"/img_imagen_victima.img/vol_vol5/usr/lib/python3/dist-packages/MarkupSafe-1.1.0.egg-info/top_level.txt",,,text/plain,txt
