"List Name","Files with Hits"
"0.0.0.0 (291)",291
"0.0.0.1 (27)",27
"0.0.0.2 (3)",3
"0.0.0.255 (9)",9
"0.0.0.3 (17)",17
"0.0.0.31 (9)",9
"0.0.0.4 (12)",12
"0.0.0.6 (12)",12
"0.0.0.8 (2)",2
"0.0.1.1 (11)",11
"0.0.1.18 (1)",1
"0.0.1.2 (12)",12
"0.0.1.3 (12)",12
"0.0.1.4 (11)",11
"0.0.1.5 (11)",11
"0.0.19.1 (15)",15
"0.0.2.0 (14)",14
"0.0.2.1 (11)",11
"0.0.2.2 (3)",3
"0.0.2.25 (7)",7
"0.0.2.3 (12)",12
"0.0.2.34 (3)",3
"0.0.2.36 (13)",13
"0.0.2.4 (3)",3
"0.0.2.7 (11)",11
"0.0.21.1 (16)",16
"0.0.23.1 (15)",15
"0.0.3.1 (12)",12
"0.0.3.17 (3)",3
"0.0.3.18 (3)",3
"0.0.3.3 (14)",14
"0.0.3.4 (3)",3
"0.0.3.5 (14)",14
"0.0.3.8 (3)",3
"0.0.3.9 (3)",3
"0.0.4.0 (14)",14
"0.0.4.1 (15)",15
"0.0.4.2 (11)",11
"0.0.5.0 (12)",12
"0.0.52.1 (3)",3
"0.0.6.0 (15)",15
"0.0.6.1 (11)",11
"0.0.7.0 (13)",13
"0.0.7.6 (11)",11
"0.0.74.0 (2)",2
"0.1.0.0 (18)",18
"0.1.0.1 (16)",16
"0.1.0.2 (11)",11
"0.1.0.3 (16)",16
"0.1.0.4 (11)",11
"0.1.0.6 (12)",12
"0.1.0.7 (11)",11
"0.1.0.9 (12)",12
"0.1.1.0 (12)",12
"0.1.1.1 (12)",12
"0.1.1.2 (15)",15
"0.1.1.3 (12)",12
"0.1.1.4 (11)",11
"0.1.1.5 (12)",12
"0.1.1.6 (12)",12
"0.1.11.1 (11)",11
"0.1.15.2 (15)",15
"0.1.17.4 (11)",11
"0.1.2.0 (16)",16
"0.1.2.1 (14)",14
"0.1.2.2 (11)",11
"0.1.2.3 (12)",12
"0.1.3.0 (12)",12
"0.1.3.1 (11)",11
"0.1.3.3 (11)",11
"0.1.31.0 (11)",11
"0.1.4.0 (11)",11
"0.1.4.2 (16)",16
"0.1.4.3 (3)",3
"0.1.4.4 (11)",11
"0.1.4.6 (11)",11
"0.1.5.2 (12)",12
"0.1.5.3 (3)",3
"0.1.5.4 (3)",3
"0.1.6.0 (15)",15
"0.1.6.3 (11)",11
"0.1.6.4 (11)",11
"0.1.60.0 (1)",1
"0.1.62.1 (2)",2
"0.1.7.0 (11)",11
"0.1.8.0 (15)",15
"0.1.8.1 (11)",11
"0.1.9.2 (15)",15
"0.1.9.9 (3)",3
"0.10.0.1 (11)",11
"0.10.0.2 (15)",15
"0.10.0.4 (11)",11
"0.10.2.3 (11)",11
"0.10.6.2 (11)",11
"0.10.8.2 (11)",11
"0.11.0.0 (11)",11
"0.11.1.0 (15)",15
"0.11.1.1 (11)",11
"0.11.1.8 (3)",3
"0.11.100.1 (12)",12
"0.11.101.0 (12)",12
"0.11.2.2 (11)",11
"0.11.4.16 (11)",11
"0.11.8.7 (15)",15
"0.12.0.3 (11)",11
"0.12.0.5 (11)",11
"0.12.2.1 (11)",11
"0.12.3.1 (15)",15
"0.12.5.3 (11)",11
"0.13.0.3 (11)",11
"0.13.2.2 (11)",11
"0.13.5.0 (15)",15
"0.13.6.0 (12)",12
"0.13.7.0 (11)",11
"0.14.0.0 (12)",12
"0.14.0.2 (2)",2
"0.14.0.3 (12)",12
"0.14.1.5 (16)",16
"0.14.3.0 (12)",12
"0.15.0.0 (12)",12
"0.15.0.1 (15)",15
"0.15.0.2 (3)",3
"0.156.14.4 (1)",1
"0.16.0.1 (16)",16
"0.17.0.1 (3)",3
"0.17.1.14 (15)",15
"0.18.1.1 (10)",10
"0.18.3.1 (1)",1
"0.19.0.0 (15)",15
"0.19.0.1 (11)",11
"0.19.8.1 (46)",46
"0.2.0.0 (14)",14
"0.2.0.1 (14)",14
"0.2.0.10 (11)",11
"0.2.0.13 (11)",11
"0.2.0.2 (15)",15
"0.2.0.3 (11)",11
"0.2.0.4 (12)",12
"0.2.0.5 (12)",12
"0.2.0.9 (11)",11
"0.2.1.0 (16)",16
"0.2.1.1 (12)",12
"0.2.1.10 (3)",3
"0.2.1.2 (11)",11
"0.2.1.3 (11)",11
"0.2.1.6 (12)",12
"0.2.10.0 (11)",11
"0.2.11.0 (11)",11
"0.2.11.1 (15)",15
"0.2.2.0 (11)",11
"0.2.2.1 (16)",16
"0.2.2.7 (11)",11
"0.2.2.8 (12)",12
"0.2.3.0 (11)",11
"0.2.3.1 (15)",15
"0.2.3.12 (11)",11
"0.2.3.2 (11)",11
"0.2.3.3 (11)",11
"0.2.3.5 (11)",11
"0.2.3.6 (11)",11
"0.2.4.0 (12)",12
"0.2.4.1 (15)",15
"0.2.4.6 (4)",4
"0.2.4.8 (22)",22
"0.2.5.0 (12)",12
"0.2.5.1 (11)",11
"0.2.5.2 (11)",11
"0.2.6.0 (11)",11
"0.2.6.1 (12)",12
"0.2.6.2 (11)",11
"0.2.7.0 (12)",12
