"List Name","Files with Hits"
"ftp://algos.inesc.pt/pub/users/cdua/scripts.tar.gz (2)",2
"ftp://alpha.gnu.org/gnu/diffutils (1)",1
"ftp://alpha.gnu.org/gnu/diffutils/'. (2)",2
"ftp://alpha.gnu.org/gnu/findutils (2)",2
"ftp://alpha.gnu.org/gnu/gzip (3)",3
"ftp://alpha.gnu.org/gnu/paxutils (3)",3
"ftp://alpha.gnu.org/pub/gnu/sed/sed-3.02.80.tar.gz (2)",2
"ftp://archive.ubuntu.com/ubuntu (1)",1
"ftp://athena-dist.mit.edu (4)",4
"ftp://bop.eps.gda.pl/pub/metatype1 (2)",2
"ftp://cedar-solutions.com/software/mysql.vim (3)",3
"ftp://ddebs.ubuntu.com (1)",1
"ftp://dev.apple.com/devworld/tool_chest/devices_-_hardware/nubus_slot_manager (1)",1
"ftp://dkuug.dk/i18n/charmaps/hp-roman8 (7)",7
"ftp://elsie.nci.nih.gov/pub. (1)",1
"ftp://elsie.nci.nih.gov/pub/tzcode2001a.tar.gz. (2)",2
"ftp://fly.cc.fer.hr (3)",3
"ftp://ftp-usa.tpc.int/pub/tpc/server/unix (3)",3
"ftp://ftp.aleksey.com/pub/xmlsec/releases (4)",4
"ftp://ftp.alsa-project.org/pub/lib (8)",8
"ftp://ftp.aminet.net/util/misc/cookietool.readme (1)",1
"ftp://ftp.andrew.cmu.edu/pub/mpack (1)",1
"ftp://ftp.apple.com/developer/development_kits (2)",2
"ftp://ftp.apple.com/developer/tool_chest/core_mac_os_tools/mpw_etc. (2)",2
"ftp://ftp.astro.com/pub/swisseph/ephe (2)",2
"ftp://ftp.astron.com/pub/file (9)",9
"ftp://ftp.austin.ibm.com/pub/technology/spec/chrp/inwork/chrp_ioref_1.0.pdf (2)",2
"ftp://ftp.ayamura.org/pub/prngd (3)",3
"ftp://ftp.berlios.de/pub/cdrecord (1)",1
"ftp://ftp.bio.indiana.edu/molbio/evolve/fastdnaml/fastdnaml.html (1)",1
"ftp://ftp.boulder.nist.gov/pub/time/leap-seconds.list (4)",4
"ftp://ftp.busybox.net/busybox (5)",5
"ftp://ftp.cdrom.com/pub/simtelnet/gnu/djgpp/v2gnu/sed118b.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/gnu/djgpp/v2gnu/sed118s.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/gnu/djgpp/v2misc/csdpmi5b.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/gnu/djgpp/v2misc/csdpmi5s.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/gnu/gnuish/sed106.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/msdos/txtutl/sed15.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/msdos/txtutl/sed15x.zip (2)",2
"ftp://ftp.cdrom.com/pub/simtelnet/win95/prog/gsed205b.zip (2)",2
"ftp://ftp.chaoticdreams.org/pub/ut/vim/uc.vim (3)",3
"ftp://ftp.connectcom.net/pub (1)",1
"ftp://ftp.cpan.org/pub/mirror/index.txt' (2)",2
"ftp://ftp.cs.berkeley.edu/pub/4bsd/readme.impt.license.change (29)",29
"ftp://ftp.cs.berkeley.edu/ucb/people/phelps/tcltk/tkman.tar.z, (1)",1
"ftp://ftp.cs.umd.edu/pub/skiplists/skiplists.pdf (2)",2
"ftp://ftp.cs.umu.se/pub/pc/u-sedit2.zip (2)",2
"ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre (12)",12
"ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/contrib (1)",1
"ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/pcre-xxx.tar.bz2 (1)",1
"ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/pcre-xxx.tar.gz (1)",1
"ftp://ftp.csx.cam.ac.uk/pub/software/programming/pcre/pcre-xxx.zip (1)",1
"ftp://ftp.cuhk.hk/pub/chinese/ifcss/software/unix/convert/hc-30.tar.gz (4)",4
"ftp://ftp.cyrusimap.org/cyrus-sasl (6)",6
"ftp://ftp.dante.de/tex-archive/support/ps_view (5)",5
"ftp://ftp.debian.org/debian,\n (1)",1
"ftp://ftp.debian.org/debian/doc (2)",2
"ftp://ftp.debian.org/debian/pool/main/d/deroff (1)",1
"ftp://ftp.decismkr.com/dms (1)",1
"ftp://ftp.dementia.org/pub/net\-tools (3)",3
"ftp://ftp.ebi.ac.uk/pub/software/swissprot/swissknife/. (2)",2
"ftp://ftp.ee.lbl.gov/old/libpcap-0.4a7.tar.z (1)",1
